Guideline URL,Ethnic Group Found,Page Numbers
https://www.sign.ac.uk/media/1085/sign149.pdf,Asian,"[20, 31, 36, 37]"
https://www.sign.ac.uk/media/1085/sign149.pdf,Indian,"[20, 36]"
https://www.sign.ac.uk/media/1085/sign149.pdf,Pakistani,"[20, 36, 37]"
https://www.sign.ac.uk/media/1085/sign149.pdf,Bangladeshi,[20]
https://www.sign.ac.uk/media/1085/sign149.pdf,Chinese,"[14, 20, 36, 105, 111]"
https://www.sign.ac.uk/media/1085/sign149.pdf,Black,"[20, 31, 72, 110, 115]"
https://www.sign.ac.uk/media/1085/sign149.pdf,African,"[20, 72]"
https://www.sign.ac.uk/media/1085/sign149.pdf,Caribbean,"[20, 72]"
https://www.sign.ac.uk/media/1467/sign149_search_narrative.pdf,White,[6]
https://www.sign.ac.uk/media/1465/sign149_consultation_report.pdf,White,[19]
https://www.sign.ac.uk/media/1465/sign149_consultation_report.pdf,Chinese,[19]
https://www.sign.ac.uk/media/2039/sign50_2015.pdf,White,[30]
https://www.sign.ac.uk/media/2039/sign50_2015.pdf,Asian,[30]
https://www.sign.ac.uk/media/1423/sign157.pdf,White,[44]
https://www.sign.ac.uk/media/1423/sign157.pdf,Chinese,"[22, 50]"
https://www.sign.ac.uk/media/2329/sign50_2019.pdf,White,[27]
https://www.sign.ac.uk/media/2329/sign50_2019.pdf,Asian,[27]
https://www.sign.ac.uk/media/1643/sign50_2014.pdf,White,[30]
https://www.sign.ac.uk/media/1643/sign50_2014.pdf,Asian,[30]
https://www.sign.ac.uk/media/1072/sign134.pdf,White,[34]
